Time,Temperature,Humidity,Day
10:20:00 AM,35,44,"Dec 1, 2020"
11:20:00 AM,29,74,"Dec 1, 2020"
12:20:00 PM,20,56,"Dec 1, 2020"
01:20:00 PM,,29,"Dec 4, 2020"
02:20:00 PM,33,69,"Dec 5, 2020"
03:20:00 PM,23,,"Dec 6, 2020"
04:20:00 PM,34,38,"Dec 7, 2020"
05:20:00 PM,,54,"Dec 8, 2020"
06:20:00 PM,26,54,"Dec 9, 2020"
07:20:00 PM,,,"Dec 10, 2020"
08:20:00 PM,30,61,"Dec 11, 2020"
09:20:00 PM,35,48,"Dec 12, 2020"
10:20:00 PM,,56,"Dec 13, 2020"
11:20:00 PM,24,,"Dec 14, 2020"
12:20:00 AM,30,50,"Dec 14, 2020"
01:20:00 AM,30,59,"Dec 14, 2020"
02:20:00 AM,,52,"Dec 14, 2020"
03:20:00 AM,31,,"Dec 18, 2020"
04:20:00 AM,24,50,"Dec 19, 2020"
05:20:00 AM,,36,"Dec 20, 2020"
06:20:00 AM,,,"Dec 21, 2020"
07:20:00 AM,31,71,"Dec 22, 2020"
08:20:00 AM,20,73,"Dec 23, 2020"
09:20:00 AM,,65,"Dec 24, 2020"
10:20:00 AM,29,,"Dec 25, 2020"
11:20:00 AM,28,31,"Dec 26, 2020"
12:20:00 PM,29,,"Dec 27, 2020"
01:20:00 PM,,60,"Dec 28, 2020"
10:20:00 AM,23,44,"Jan 1, 2021"
11:20:00 AM,24,74,"Jan 2, 2021"
12:20:00 PM,27,56,"Jan 3, 2021"
01:20:00 PM,28,29,"Jan 4, 2021"
02:20:00 PM,,69,"Jan 5, 2021"
03:20:00 PM,23,52,"Jan 6, 2021"
04:20:00 PM,23,,"Jan 7, 2021"
05:20:00 PM,,54,"Jan 7, 2021"
06:20:00 PM,26,54,"Jan 7, 2021"
07:20:00 PM,26,38,"Jan 10, 2021"
08:20:00 PM,26,61,"Jan 11, 2021"
09:20:00 PM,35,48,"Jan 12, 2021"
10:20:00 PM,31,56,"Jan 13, 2021"
11:20:00 PM,,35,"Jan 14, 2021"
12:20:00 AM,30,,"Jan 15, 2021"
01:20:00 AM,30,59,"Jan 16, 2021"
02:20:00 AM,26,52,"Jan 17, 2021"
03:20:00 AM,31,,"Jan 17, 2021"
04:20:00 AM,,50,"Jan 17, 2021"
05:20:00 AM,20,36,"Jan 20, 2021"
06:20:00 AM,20,34,"Jan 21, 2021"
07:20:00 AM,,71,"Jan 22, 2021"
08:20:00 AM,,73,"Jan 23, 2021"
09:20:00 AM,20,65,"Jan 24, 2021"
10:20:00 AM,20,,"Jan 7, 2021"
11:20:00 AM,28,31,"Jan 26, 2021"
12:20:00 PM,29,32,"Jan 26, 2021"
01:20:00 PM,21,60,"Jan 26, 2021"
02:21:10 PM,20.39,,"Jan 27, 2021"
03:21:10 PM,,32.79,"Jan 27, 2021"
04:21:10 PM,20.39,32.79,"Jan 27, 2021"
05:21:10 PM,20.39,32.79,"Jan 27, 2021"
06:21:10 PM,20.39,32.79,"Jan 27, 2021"
07:21:10 PM,20.5,32.545,"Jan 27, 2021"
08:21:10 PM,20.5,32.59,"Jan 27, 2021"
09:21:10 PM,20.55,32.59,"Jan 27, 2021"
10:21:10 PM,20.5,32.5,"Jan 27, 2021"
11:21:10 PM,,,"Jan 27, 2021"
12:21:10 AM,20.55,32.5,"Jan 27, 2021"
01:21:10 AM,20.525,32.5,"Jan 28,2021"
02:21:10 AM,20.5,32.5,"Jan 28,2021"
03:21:10 AM,20.6,32.5,"Jan 28,2021"
04:21:10 AM,20.56666667,32.5,"Jan 28,2021"
05:21:10 AM,20.39,32.845,"Jan 28,2021"
06:21:10 AM,20.39,,"Jan 28,2021"
07:21:10 AM,,32.79,"Jan 28,2021"
08:21:10 AM,20.39,32.79,"Jan 28,2021"
